y,pred,proba,text
0,1,0.8659996103548987,"Stronghold Crusader Extreme takes the addictive Crusader gameplay to a new level. Featuring massive battles, new outposts and tactical powers to master, Extreme carries on from where Crusader left off. The all new Extreme trail will provide a stiff challenge to any hardened Crusader player. For those new to Crusader, the original game has been provided too, in an updated form and with all the previously released limited edition content, such as the second crusader trail and all 8 new AI opponents. [FireFly Studios]"
0,1,0.7932283603538464,"Get scouting tips from coaches like Florida's Billy Donovan, Kansas' Roy Williams, and UCLA's Steve Lavin; New Emotion Meter lets big plays and crowd energy affect how you perform; New courts include fieldhouse and stadiums; Use one of over 130 real teams or create your own. [EA Sports]"
0,1,0.7816689927674715,"Metal Gear Survive picks up from the ending of METAL GEAR SOLID V: GROUND ZEROES, to an alternate timeline caused by unexplained wormholes forming in the sky."
0,1,0.7778776706843801,"Pacific Storm: Allies offers completely new experiences for those who played and liked Pacific Storm and the most intense hours of gameplay for those who didn't play the original game. Playing either for the United States, Imperial Japan, or a new playable nation - the UK, you walk through a dramatic sequence of large-scale naval and air military operations. The perfect mix of genres remains on this standalone better than ever. Develop weaponry and technologies to improve your units, move your fleet and deploy it in the battlefield and send them to the combat as a general or become a pilot and control one of the planes or ships directly! Enjoy the exceptional depth and scale of the strategic mode, superior authenticity of the tactical mode and exciting dynamics of the simulator. New units to construct, new historical locations to visit, diplomatic system that allows you to form alliances and a brand new version of the engine that brings better graphics than ever... The improved multiplayer system will push the experience of playing with people over internet or under the same local net to the top of the realism. Every scenario, map, and element has been created based on historical archives. [Buka Entertainment]"
0,1,0.760638598496322,"Undisputed God of the Universe Chou-Chou returns with her crew for a brand-new story revolving around the zodiac. Taking place immediately after the first game, you take control of the goddess Syrma, who meets Chou-Chou just after the end of the first game's events. Syrma is out to stop an ancient threat to her world that has recently awakened."
0,1,0.7602942921212557,"You find yourself awakening in a new world, on floating islands in the sky with no memory of how you got there. It's a strange, exotic and seemingly endless realm filled with both friendly and hostile encounters alike. You start your adventure discovering how you arrived, why you're in this place and where to go from there. Use your imagination to explore and build to your heart's content or unravel your story and dig deeper into the mystery!"
0,1,0.7533977879682953,"An Exceptional 100th Edition!

Take control of the greatest champions during a Tour de France 2013 full of new features! With a more dynamic gameplay and a new graphic engine, live 21 official stages more realistic than ever. Build your race strategies, reach your objectives and win the yellow jersey to become the new Legend of Le Tour!

- Total control of the trajectory
- Races more realistic than ever
- Multiplayer Modes: Coop and Versus"
0,1,0.7520260841112953,"MX vs ATV Legends is the latest installment within the MX vs ATV offroad racing universe. Players live the fantasy of becoming a world-famous, professional offroad rider. They´ll bask in the glory of fame and the adulation of both fans and sponsors alike while playing the career and online modes. Race in 2 player split-screen and 16-player online mode with squad-based gameplay. Experience the brand new Trails mode for high intensity outdoor racing, - each turn can present new surprises, challenging your drivestyle in new ways. Compete in the new career mode where your choices lead to different paths, sponsorship opportunities and special invitational events. Experience the brand new Trails mode for high intensity outdoor racing, - each turn can present new surprises, challenging your drivestyle in new ways. Feel the refined physics system for higher precision racing even in the toughest situations like riding berms and ruts. Endure dynamic weather like rain and snow which adds a new dynamic to chasing the podium.

"
0,1,0.745256100380562,"New Online Mode: Challenge an opponent from anywhere in the country. Create your own buddy list and chat online while battling out on the gridiron. ""AWOL"" mode means a computer will take over for an unattended controller during an online matchup. New, 60 frames per second gameplay puts the power and athleticism of the NFL in the palm of your hand. Feel the most responsive control over extremely detailed and fluid animations including 200 new tackles, catches and blocks. Over 70 new ""break tackle"" animations mean the outcome of each and every play will be different to ensure the highest replay value ever. Revamped catching, blocking and passing systems put you on the field and simulate the action of a real NFL game. Put any offensive skilled player in motion with the press of a button to keep the defense guessing."
0,1,0.745220016863451,"More than 500 years in the future, you and your partners embark on a search-and-rescue mission to piece together a spacecraft's mysterious reappearance after a 300-year absence. Armed with hyperspeed booster units and an arsenal of futuristic weaponry, you'll confront ferocious space mutations and evolved forms of dinosaur creations. On this dynamically changing galactic ship, it's up to you to change the spaceship layout, collect objects, and solve puzzles to achieve your objectives."
